2021-05-23 22:58:59,956 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2021-05-23 22:58:59,974 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2021-05-23 22:58:59,975 INFO  Logger.cs: 73 - Commit version 1.6.0-1-g15f4949
2021-05-23 22:58:59,975 INFO  Logger.cs: 74 - Build version 1.6.7594.29634
2021-05-23 22:58:59,992 INFO  SwAddin.cs: 192 - Attempting to connect to SW
2021-05-23 22:58:59,993 INFO  SwAddin.cs: 197 - Setting up callbacks
2021-05-23 22:58:59,994 INFO  SwAddin.cs: 201 - Setting up command manager
2021-05-23 22:58:59,995 INFO  SwAddin.cs: 204 - Adding command manager
2021-05-23 22:58:59,998 INFO  SwAddin.cs: 263 - Adding Assembly export to file menu
2021-05-23 22:58:59,999 INFO  SwAddin.cs: 272 - Adding Part export to file menu
2021-05-23 22:58:59,999 INFO  SwAddin.cs: 210 - Adding event handlers
2021-05-23 22:59:00,027 INFO  SwAddin.cs: 217 - Connecting plugin to SolidWorks
2021-05-23 23:00:15,405 INFO  SwAddin.cs: 294 - Assembly export called for file harvest-studio.SLDASM
2021-05-23 23:00:15,406 INFO  SwAddin.cs: 299 - Save is required
2021-05-23 23:00:15,406 INFO  SwAddin.cs: 313 - Saving assembly
2021-05-23 23:00:16,058 INFO  SwAddin.cs: 316 - Opening property manager
2021-05-23 23:00:16,076 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from harvest-studio.SLDASM
2021-05-23 23:00:16,082 INFO  ExportHelperExtension.cs: 1136 - Found 31 in harvest-studio.SLDASM
2021-05-23 23:00:16,083 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in harvest-studio.SLDASM
2021-05-23 23:00:16,083 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2021-05-23 23:00:16,085 INFO  ExportHelperExtension.cs: 1160 - 3 components to check
2021-05-23 23:00:16,086 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from harvest-studio-frame-1
2021-05-23 23:00:16,086 INFO  ExportHelperExtension.cs: 1136 - Found 97 in harvest-studio-frame-1
2021-05-23 23:00:16,087 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in harvest-studio-frame-1
2021-05-23 23:00:16,087 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from xArm5-1
2021-05-23 23:00:16,088 INFO  ExportHelperExtension.cs: 1136 - Found 23 in xArm5-1
2021-05-23 23:00:16,088 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in xArm5-1
